sample,group,condition
Group B-4,B,lm
Group B-15,B,lm
Group B-5,B,lm
Group B-7,B,lm
Group B-8,B,lm
Group B-3,B,lm
Group B-10,B,lm
Group B-9,B,lm
Group B-11,B,lm
Group B-12,B,lm
Group B-17,B,lm
Group B-18,B,lm
Group B-19,B,lm
Group B-16,B,lm
Group B-20,B,lm
Group B-1,B,lm
Group B-2,B,lm
Group B-6,B,lm
Group A-1,A,cancer
Group A-2,A,cancer
Group A-4,A,cancer
Group A-15,A,cancer
Group A-5,A,cancer
Group A-7,A,cancer
Group A-8,A,cancer
Group A-3,A,cancer
Group A-10,A,cancer
Group A-9,A,cancer
Group A-14,A,cancer
Group A-12,A,cancer
Group A-13,A,cancer
Group A-20,A,cancer
Group A-6,A,cancer
Group A-11,A,cancer
Group A-17,A,cancer
Group A-18,A,cancer
Group A-19,A,cancer
Group A-16,A,cancer
Group C-2,C,normal
Group C-6,C,normal
Group C-5,C,normal
Group C-8,C,normal
Group C-3,C,normal
Group C-10,C,normal
Group C-11,C,normal
Group C-14,C,normal
Group C-12,C,normal
Group C-18,C,normal
Group C-20,C,normal
Group C-1,C,normal
Group C-15,C,normal
Group C-7,C,normal
Group B-4,B,lm
Group B-15,B,lm
Group B-5,B,lm
Group B-7,B,lm
Group B-8,B,lm
Group B-3,B,lm
Group B-10,B,lm
Group B-9,B,lm
Group B-11,B,lm
Group B-12,B,lm
Group B-17,B,lm
Group B-18,B,lm
Group B-19,B,lm
Group B-16,B,lm
Group B-20,B,lm
Group B-1,B,lm
Group B-2,B,lm
Group B-6,B,lm
Group A-1,A,cancer
Group A-2,A,cancer
Group A-4,A,cancer
Group A-15,A,cancer
Group A-5,A,cancer
Group A-7,A,cancer
Group A-8,A,cancer
Group A-3,A,cancer
Group A-10,A,cancer
Group A-9,A,cancer
Group A-14,A,cancer
Group A-12,A,cancer
Group A-13,A,cancer
Group A-20,A,cancer
Group A-6,A,cancer
Group A-11,A,cancer
Group A-17,A,cancer
Group A-18,A,cancer
Group A-19,A,cancer
Group A-16,A,cancer
Group C-2,C,normal
Group C-6,C,normal
Group C-5,C,normal
Group C-8,C,normal
Group C-3,C,normal
Group C-10,C,normal
Group C-11,C,normal
Group C-14,C,normal
Group C-12,C,normal
Group C-18,C,normal
Group C-20,C,normal
Group C-1,C,normal
Group C-15,C,normal
Group C-7,C,normal
